緯度の整数部分（度）,緯度の小数部分（分）,経度の整数部分（度）,緯度の小数部分(分),震央地名
18,11,122,30,フィリピン付近
18,54,145,26,マリアナ諸島
19,5,122,15,フィリピン付近
19,30,120,58,フィリピン付近
19,35,121,17,フィリピン付近
19,37,121,8,フィリピン付近
19,38,121,10,フィリピン付近
19,41,121,9,フィリピン付近
19,42,121,10,フィリピン付近
19,43,121,14,フィリピン付近
19,48,122,18,フィリピン付近
19,50,121,29,フィリピン付近
19,58,122,26,フィリピン付近
20,3,121,26,フィリピン付近
20,7,121,47,フィリピン付近
20,8,121,41,フィリピン付近
20,10,121,17,フィリピン付近
20,12,121,31,フィリピン付近
20,13,121,24,フィリピン付近
20,16,121,32,フィリピン付近
20,16,122,31,フィリピン付近
20,18,120,27,フィリピン付近
20,18,121,39,フィリピン付近
20,20,121,39,フィリピン付近
20,20,146,6,マリアナ諸島
20,23,121,41,フィリピン付近
20,24,145,28,マリアナ諸島
20,24,146,18,マリアナ諸島
20,25,122,11,フィリピン付近
20,26,122,8,フィリピン付近
20,27,120,43,フィリピン付近
20,27,122,4,フィリピン付近
20,28,122,1,フィリピン付近
20,28,122,8,フィリピン付近
20,28,122,21,フィリピン付近
20,28,146,2,マリアナ諸島
20,30,121,51,フィリピン付近
20,31,121,1,フィリピン付近
20,31,121,46,フィリピン付近
20,35,122,0,フィリピン付近
20,38,120,36,フィリピン付近
20,41,121,48,フィリピン付近
20,43,120,28,フィリピン付近
20,45,120,8,フィリピン付近
20,45,121,14,フィリピン付近
20,45,121,58,フィリピン付近
20,47,122,31,フィリピン付近
20,49,121,34,フィリピン付近
20,50,120,24,フィリピン付近
20,53,120,23,フィリピン付近
20,53,120,56,フィリピン付近
20,57,120,21,フィリピン付近
21,1,122,6,台湾付近
21,5,120,17,台湾付近
21,6,120,55,台湾付近
21,6,121,50,台湾付近
21,6,122,8,台湾付近
21,7,120,3,台湾付近
21,7,121,55,台湾付近
21,7,122,6,台湾付近
21,7,123,2,石垣島南方沖
21,8,122,10,台湾付近
21,9,119,56,遠地
21,9,122,4,台湾付近
21,11,121,56,台湾付近
21,12,120,38,台湾付近
21,12,121,37,台湾付近
21,12,121,41,台湾付近
21,14,121,55,台湾付近
21,14,122,54,石垣島南方沖
21,15,120,10,台湾付近
21,17,121,52,台湾付近
21,19,120,56,台湾付近
21,19,123,7,石垣島南方沖
21,20,122,2,台湾付近
21,20,122,38,石垣島南方沖
21,21,120,42,台湾付近
21,22,121,37,台湾付近
21,24,121,7,台湾付近
21,25,120,58,台湾付近
21,25,123,15,石垣島南方沖
21,27,121,7,台湾付近
21,28,121,55,台湾付近
21,29,121,57,台湾付近
21,30,120,59,台湾付近
21,30,121,2,台湾付近
